TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
27	4533.172	5624.909	4380.531	4337.823	6144.759	2490.91	2049.764	2198.932	1737.449	3449.484	2374.138	6462.297	6732.367	6269.581	1154.408	5685.117	2084.825	1063.055	4653.318	2693.435	4139.331	5663.783	7668.782	2369.878	7216.487	4220.21	5264.354	1247.684	6129.666	2539.403	6832.46	4399.259	1788.902	1049.142
28	4572.071	5759.77	4447.108	4395.216	6161.929	2571.53	2105.589	2221.496	1778.035	3467.083	2538.841	6734.96	7239.146	6843.625	1219.31	5609.986	2251.775	1067.814	5172.871	2618.366	4197.284	6188.056	7497.305	2416.119	7837.962	4523.134	5588.462	1217.862	5870.013	2601.872	7275.059	4322.319	1961.944	1056.465
29	4628.375	5805.171	4477.12	4433.819	6147.524	2653.686	2085.633	2227.727	1828.456	3440.687	2699.013	6752.449	7392.332	7218.194	1280.993	5391.315	2428.252	1073.169	5677.242	2571.006	4335.79	6760.924	7461.974	2474.967	8679.782	4799.805	6123.8	1261.492	5808.79	2688.585	7690.383	4249.076	2117.74	1084.954
30	4665.554	5809.567	4522.919	4462.743	6164.162	2704.167	2087.025	2253.134	1882.155	3390.779	2853.528	6856.85	7648.523	7652.51	1350.714	5415.608	2563.386	1090.236	6038.009	2561.026	4524.406	7243.694	7507.688	2512.317	9424.342	4983.074	6491.864	1299.869	5638.867	2773.022	7941.961	4206.999	2251.443	1127.094
31	4697.985	5796.891	4527.933	4441.013	6127.383	2730.489	2066.206	2239.166	1927.685	3343.035	2988.868	6788.887	7578.059	7804.078	1353.569	5390.519	2652.178	1114.094	6199.885	2595.016	4767.684	7576.364	7691.87	2484.734	10124.966	4979.935	6682.638	1340.882	5519.363	2878.894	8062.357	4043.892	2250.546	1160.151
32	4668.352	5724.343	4571.602	4433.113	6152.034	2732.474	2064.876	2239.438	1950.693	3299.244	3073.504	6785.562	7499.542	7953.266	1358.792	5631.128	2695.639	1156.266	6272.378	2698.489	5096.571	7813.984	8213.719	2478.234	10702.529	5054.702	6916.67	1421.767	5725.077	2998.806	8080.37	4056.939	2282.166	1219.319
33	4685.946	5668.072	4614.846	4426.495	6190.052	2697.346	2056.001	2250.305	1973.64	3277.349	3082.318	6849.049	7360.234	7874.795	1366.433	5917.71	2722.225	1188.777	6160.47	2885.402	5469.623	7901.294	8923.453	2489.164	10864.533	4864.739	6633.453	1434.614	5787.718	3103.767	7976.12	4183.247	2246.082	1264.8
34	4641.225	5573.145	4647.595	4405.779	6294.689	2669.372	2063.719	2264.5	1974.268	3309.441	3068.79	6970.532	7144.995	7624.771	1360.023	6286.724	2698.503	1222.158	6052.26	3075.072	5807.833	7877.645	9546.723	2484.61	10906.277	4739.927	6511.095	1486.441	6209.824	3191.145	7819.858	4391.686	2158.532	1311.665
35	4604.389	5528.634	4676.425	4363.004	6375.216	2656.645	2062.165	2295.724	1967.203	3377.767	3021.267	7460.15	7242.09	7595.922	1387.848	6790.56	2678.068	1241.797	5893.074	3278.11	6093.584	7711.3	10417.798	2568.575	10828.122	4668.652	6385.808	1513.294	6593.507	3293.888	7693.367	4794.659	2150.521	1372.981
36	4604.204	5559.978	4754.039	4364.09	6489.529	2671.957	2083.19	2299.328	1938.173	3473.497	2944.565	7851.433	7202.673	7328.711	1345.515	6968.476	2623.891	1242.799	5711.569	3434.654	6255.135	7550.506	10816.668	2576.857	10641.317	4579.46	6213.964	1522.167	7114.417	3343.357	7568.882	5164.485	2064.213	1377.413
